ID,Name,Department,Title,City,Area,PostalCode,ContactNo,ContactMail,Password
2001,Dr.Shafiqur Rahman,Cardiology,Senior Consultant,Dhaka,Dhanmondi,1209,01711112222,shafiqur@hospital.com,1111
2002,Dr.Mahmuda Akter,Neurology,Associate Professor,Chattogram,GEC,4000,01822223333,mahmuda@hospital.com,2222
2003,Dr.Aminul Haque,Orthopedics,Surgeon,Khulna,Boyra,9100,01933334444,aminul@hospital.com,3333
2004,Dr.Rokeya Sultana,Gynecology,Professor,Rajshahi,Laxmipur,6000,01544445555,rokeya@hospital.com,4444
2005,Dr.Ziaur Rahman,Dermatology,Consultant,Sylhet,Ambarkhana,3100,01655556666,ziaur@hospital.com,5555
2006,Dr.Tanjina Alam,Pediatrics,Senior Consultant,Barishal,Kawnia,8200,01766667777,tanjina@hospital.com,6666
2007,Dr.Kamrul Hasan,Urology,Specialist,Comilla,Kandirpar,3500,01877778888,kamrul@hospital.com,7777
2008,Dr.Lutfar Rahman,ENT,Consultant,Rangpur,Medical Road,5400,01988889999,lutfar@hospital.com,8888
2009,Dr.Munira Islam,Oncology,Professor,Mymensingh,Town Hall,2200,01599990000,munira@hospital.com,9999
2010,Dr.Iftekhar Hossain,Nephrology,Specialist,Coxs Bazar,Laboni,4700,01610111213,iftekhar@hospital.com,1010
2011,Dr.Sajid Mahmud,Endocrinology,Senior Consultant,Jashore,Chowgacha,7400,01712131415,sajid@hospital.com,1212
2012,Dr.Rasheda Parveen,Hematology,Professor,Tangail,Park Road,1900,01813141516,rasheda@hospital.com,1313
2013,Dr.Jubayer Hossain,Gastroenterology,Consultant,Gazipur,Tongi,1700,01914151617,jubayer@hospital.com,1414
2014,Dr.Sharmin Jahan,Rheumatology,Professor,Narayanganj,Fatullah,1400,01515161718,sharmin@hospital.com,1515
2015,Dr.Ashfaque Karim,Hepatology,Consultant,Bogura,Sherpur,5800,01616171819,ashfaque@hospital.com,1616
2016,Dr.Sumaiya Chowdhury,Pulmonology,Senior Consultant,Dhaka,Mohakhali,1212,01717181920,sumaiya@hospital.com,1717
2017,Dr.Hossain Md. Tarek,Radiology,Consultant,Chattogram,Panchlaish,4212,01818192021,tarek@hospital.com,1818
2018,Dr.Yasmin Akhter,Psychiatry,Professor,Khulna,Rupsha,9200,01919202122,yasmin@hospital.com,1919
2019,Dr.Faruk Hossain,Ophthalmology,Surgeon,Rajshahi,Kazla,6001,01520212223,faruk@hospital.com,2020
2020,Dr.Mizanur Rahman,General Medicine,Consultant,Sylhet,Shibganj,3102,01621222324,mizanur@hospital.com,2121
